时间,沪深300,中证500,中证1000,中债-国债总财富(总值)指数,中债-企业债总财富(总值)指数,中债-中期票据总财富(总值)指数,南华商品指数,中间价_美元兑人民币
2008-05-05,4055.779,4040.159,3694.116,117.257,95.051,100.054,1376.5683,7.0016
2008-05-06,4010.888,4024.99,3698.918,117.227,95.074,100.016,1390.4567,6.9888
2008-05-07,3821.319,3850.226,3553.334,116.611,94.557,100.002,1380.7005,6.9848
2008-05-08,3925.041,3985.197,3669.873,116.656,94.634,100.122,1386.5074,7.001
2008-05-09,3878.924,3986.24,3674.633,116.641,94.709,100.154,1384.3677,7.0005
2008-05-12,3904.92,4069.145,3749.787,116.651,94.634,100.149,1402.9657,6.982
2008-05-13,3851.687,4078.877,3776.84,116.691,94.554,100.184,1404.7424,6.9887
2008-05-14,3975.782,4168.486,3856.087,116.663,94.547,100.233,1406.5036,6.9987
2008-05-15,3948.088,4131.252,3831.376,116.658,94.618,100.251,1400.8802,7.0
2008-05-16,3936.121,4071.91,3789.099,116.681,94.63,100.315,1415.8423,6.9895
2008-05-19,3914.072,4070.049,3805.892,116.662,94.623,100.354,1405.1916,6.9712
2008-05-20,3710.818,3813.935,3592.679,116.669,94.607,100.362,1404.9322,6.978
2008-05-21,3783.049,3908.772,3690.701,116.643,94.53,100.39,1392.9037,6.9597
2008-05-22,3711.444,3871.553,3672.202,116.708,94.546,100.39,1406.0431,6.9428
2008-05-23,3675.147,3829.645,3603.275,116.727,94.557,100.458,1405.6635,6.9498
2008-05-26,3559.217,3728.751,3483.411,116.755,94.639,100.476,1423.149,6.9399
2008-05-27,3576.197,3743.539,3486.905,116.736,94.629,100.526,1427.1449,6.9432
2008-05-28,3676.23,3847.258,3568.679,116.777,94.637,100.621,1422.3604,6.9408
2008-05-29,3580.868,3749.216,3501.281,116.814,94.681,100.632,1413.8569,6.9402
2008-05-30,3611.33,3755.631,3506.841,116.837,94.724,100.662,1393.3377,6.9472
2008-06-02,3625.826,3788.153,3553.315,116.863,94.77,100.719,1390.0818,6.9372
