,factor_0,factor_1,factor_2,factor_3,factor_4
2015-01-05,1.0,1.0,1.0,1.0,1.0
2015-01-06,1.0000973344664588,1.0010532482483645,1.0000399186545699,1.000213426574948,0.9994784081976632
2015-01-07,0.9989962216653072,0.9981820280387166,0.9995029775073337,0.9997735291685923,0.9995398870984551
2015-01-08,0.998610624928393,0.9983477976381079,0.9992743303965993,0.9996616297118341,0.999090766716101
2015-01-09,0.9980554335216097,0.9980401763353208,0.9986187533902108,0.9989743053207625,0.9986733290518555
2015-01-12,0.9978035491129205,0.998051612785116,0.9979684419040001,0.9974363200337119,0.9988508665472872
2015-01-13,0.998379427347077,0.996704633472773,0.9997418578988104,1.0003122918402814,0.9995993967261624
2015-01-14,0.9968788442226448,0.9928946221694435,0.9992568249984086,1.0002388789478218,1.0005524018388876
2015-01-15,0.9971628688703529,0.993288195285354,0.9991686289476176,0.9995497636793871,1.0013499697922024
2015-01-16,0.9986317667393809,0.9949475704661689,1.0009061836244102,1.001625219473549,1.0017070996097948
2015-01-19,1.000444100158783,1.0033250477108238,1.0016607224987708,1.0028466292408091,1.0000904301977473
2015-01-20,1.001829320723363,1.003446301672351,1.0035880767663634,1.0050068590281078,1.000000939813937
2015-01-21,1.0018375961656218,1.0026148291433472,1.003355897968744,1.003988329782924,1.0005961390237759
2015-01-22,1.0031732530990118,1.0046490174882725,1.0045495170823324,1.0051106213500671,1.0006625807656395
2015-01-23,1.0021137770569724,1.0027174574399347,1.0036742741685758,1.0041495531892077,1.0012390473462767
2015-01-26,1.0024010789832216,1.0006253438459891,1.0047001948956755,1.005132858785637,1.0016378688240295
2015-01-27,1.0030094204118793,1.002958866044079,1.0049510211462358,1.0055653793877508,1.0007521739484488
2015-01-28,1.0032064720763019,1.0040234311816945,1.0048760416536808,1.0055275274161362,1.0002966519091445
2015-01-29,1.003098863926583,1.0045887875488424,1.0046073215890596,1.0054851148567885,0.9994835416742239
2015-01-30,1.0020716707265527,1.0021352303534692,1.004162975553064,1.0053670085087782,0.9998875094009155
2015-02-02,1.0044976874052118,1.0082100118577606,1.0059563282642339,1.0073205328774308,0.9997468692880254
2015-02-03,1.0052527668429085,1.009053205287865,1.0065748600215318,1.007431896890028,1.0004578980068612
2015-02-04,1.00604988916404,1.0111436529683802,1.0067060827265233,1.006568795060076,1.0003040254748305
2015-02-05,1.0059816812344327,1.0109452246143091,1.0070629118356431,1.0073905530130245,1.0006443575021267
2015-02-06,1.0064712340963673,1.0143024382469004,1.0061917726995668,1.0055150904072387,1.0001753455568778
2015-02-09,1.0056683887000868,1.012297736316663,1.0053146256206744,1.0033579498147753,1.0010751716732318
2015-02-10,1.0052749320500016,1.0108326347254926,1.005504599160211,1.0039982600164827,1.0014621377935944
2015-02-11,1.0052554364656918,1.0106854695616876,1.0055923404998395,1.0039269852558548,1.0016450106575197
2015-02-12,1.0052168399965982,1.0104118309830488,1.005793095370927,1.004230411479256,1.001671507050607
2015-02-13,1.0063807938662384,1.013196156378835,1.0067511971606486,1.0050880591620994,1.0017685102247686
2015-02-16,1.0070226613038775,1.0142668714751506,1.007775525275233,1.0066758617792548,1.0018061849211624
2015-02-17,1.006647385380593,1.013473682206844,1.007558352791385,1.0061829580950552,1.0014986391164602
2015-02-25,1.0063810216081268,1.0136361832381806,1.0071736246425844,1.0051853960067405,1.001024429403063
2015-02-26,1.0061540974378889,1.0144095497542283,1.006272807936889,1.004114240858055,1.0002772096020982
2015-02-27,1.006414234902168,1.0146300401778348,1.0061992468920378,1.0022432666014882,1.0006134136179239
2015-03-02,1.0066098645172636,1.0153965421444995,1.006502578530529,1.0029184923291465,0.999750707072724
2015-03-03,1.0067108439158505,1.0162101655882625,1.0065083563330341,1.004149343893301,0.9988891855428969
2015-03-04,1.0070283693793272,1.0162543035193692,1.0067829172451963,1.0038552046272544,0.9986668408345682
2015-03-05,1.0062835274770137,1.0156536445281394,1.005927804294792,1.0038448666827553,0.996676386109985
2015-03-06,1.005539737538916,1.014546587742487,1.0051581781100227,1.0036082640414787,0.9965415868785904
2015-03-09,1.0043144462456275,1.0124252138770287,1.0038995866472327,1.0024005289597973,0.995413150495331
2015-03-10,1.0052469149401333,1.012789149884028,1.0050019921136903,1.0035142038665674,0.9958331564033038
2015-03-11,1.0062451555166314,1.0135008276003965,1.006279374914743,1.004117788847093,0.9976168671147194
2015-03-12,1.0053510838493722,1.0126488230996769,1.005297813204938,1.0028416686032506,0.9974421056660057
2015-03-13,1.0048704789012028,1.011284577758241,1.0050293230209373,1.00394591665662,0.9964920412191056
2015-03-16,1.0046548009294824,1.0091252887185826,1.0051815519270642,1.0058143409233622,0.9951910565786112
2015-03-17,1.0041900082345694,1.0084602026553782,1.0044592219060413,1.003915921802943,0.9943149302062831
2015-03-18,1.0035497141950578,1.0054786771501036,1.0039015705580068,1.0027082520279125,0.9937749497796583
2015-03-19,1.0043572437587989,1.007436331421341,1.004520139673768,1.002476851646397,0.9936923310447036
2015-03-20,1.0046177755453318,1.0068749240892825,1.004924985378446,1.0031311983294349,0.994003927149777
2015-03-23,1.0054130941495205,1.0089727860716216,1.0055578536699343,1.0041302583505607,0.9929854482861458
2015-03-24,1.0057893753659863,1.0105548767722112,1.0055894756240749,1.0032128893872747,0.9928160694766968
2015-03-25,1.0065895480840015,1.0116952839263493,1.0063213923056187,1.0039476748847853,0.9920779014630959
2015-03-26,1.0052731497872158,1.0111970350403605,1.00445792436927,1.0018731130466645,0.9905410239752409
2015-03-27,1.0065761918800433,1.0114116485023132,1.0058773607251978,1.0025013831351028,0.991099307143719
2015-03-30,1.0054570430727436,1.008041486814191,1.004782513019782,1.000719731031021,0.9903580120455648
2015-03-31,1.0047639141319085,1.0080188715512977,1.0036159537714853,0.9989925142460329,0.9887755036786279
2015-04-01,1.004930424860712,1.0074959008423425,1.0038927007980165,0.9980268625288944,0.9890537075836212
2015-04-02,1.004846039415382,1.0060417939888768,1.0041033911558817,0.9982618016633529,0.9881178175631234
2015-04-03,1.0037559917416186,1.001144953806769,1.0037133828439642,0.9987054002749971,0.9873171244861318
2015-04-07,1.0023351843759931,0.9971222553799199,1.0027928841569278,0.9982416819085779,0.9857425458949305
2015-04-08,1.0002197546406069,0.9983335906888859,1.000026991079468,0.9945487876483929,0.9832308186818556
2015-04-09,0.9991515275169224,0.9954260937858371,0.9993714669128544,0.994418195502704,0.9827142116983396
2015-04-10,0.9978535738024329,0.9882170801170895,0.9989661799264873,0.99466249093008,0.9814150376011617
2015-04-13,0.9982320260277482,0.9862949430885174,1.0000784530763271,0.9971790773218427,0.9824811721462948
2015-04-14,0.9984727638778966,0.9853341705631433,1.0003397356435222,0.9971009909767087,0.9829434463307373
2015-04-15,0.9988238355413462,0.992929822759447,0.9991792000702462,0.9934071681791392,0.9834060318669129
2015-04-16,0.9966606377883986,0.9888033341702113,0.9977120974647793,0.9934786002019657,0.9825279670712784
2015-04-17,0.9960981580927718,0.9853203939744313,0.9974321090846916,0.9931834529463173,0.9825479357186576
2015-04-20,0.9968290343153109,0.9895660659422688,0.9976058983446975,0.9920357033676992,0.983074262474936
2015-04-21,0.9965558286068205,0.9847118052304736,0.997981761090803,0.992575030252502,0.9822419328150865
2015-04-22,0.995201792825223,0.9775154456386383,0.9978145616529716,0.9941645447175036,0.9819560602781068
2015-04-23,0.9945047814269005,0.9771478000499533,0.9970142515636042,0.9928801257854597,0.9801428769510999
2015-04-24,0.9953115590984454,0.9811505461018806,0.9977978510178049,0.9945894356883542,0.9808162896138086
2015-04-27,0.9938623629037524,0.9814854306143157,0.9965346771684802,0.9944639128141053,0.9798898202637453
2015-04-28,0.9936279141635602,0.986799445331548,0.9955159137322047,0.992638144423975,0.9800606084770387
2015-04-29,0.9926721453925604,0.9802697298759696,0.9951948154533861,0.9920990601503988,0.9785946365650844
2015-04-30,0.993558382987752,0.9847154677086751,0.9956535352299887,0.9922266097988015,0.978432608707733
2015-05-04,0.9915741310926203,0.9866075987556293,0.9936876689276161,0.9912282559904065,0.9764392970079949
2015-05-05,0.992350773608265,0.9971258423702333,0.9941635337345796,0.9921361903735456,0.9783432925356182
2015-05-06,0.9910967023212048,1.0023912174299157,0.9923409116577864,0.9898123291442524,0.9772905247544635
2015-05-07,0.9912997269122732,1.004270466376209,0.9924982736418028,0.9895754945391191,0.9776739783025767
2015-05-08,0.992544684472176,1.0006132176033402,0.9946381787389789,0.9935274434752935,0.9792708613190463
2015-05-11,0.9942072296716854,0.9962545316755378,0.9960097758187748,0.9934817926578822,0.9792592120831013
2015-05-12,0.9940289872947824,0.9911969904030438,0.9961194197254616,0.9936095288700033,0.9779590098802509
