,000300.SH,000905.SH,CBA00651.CS,CBA04031.CS,H11062.CSI,H11063.CSI,H11064.CSI,H11065.CSI
2005-01-04,982.794,986.927,97.7711,,98.89,97.64,99.75,99.11
2005-01-05,992.564,1003.633,101.1029,,99.08,95.66,100.03,100.3
2005-01-06,983.174,994.595,96.8454,,99.55,97.01,100.3,99.46
2005-01-07,983.958,997.606,98.2687,,100.22,96.85,99.6,100.12
2005-01-10,993.879,1006.337,98.5395,,100.03,95.89,99.68,100.7
2005-01-11,997.135,1008.343,98.4105,,100.33,96.88,99.29,100.18
2005-01-12,996.748,1008.62,98.415,,100.55,97.89,101.08,100.76
2005-01-13,996.877,1013.07,97.0646,,100.35,97.42,100.73,101.04
2005-01-14,988.306,1000.169,99.0647,,100.0,91.63,100.71,101.3
2005-01-17,967.452,977.522,99.214,,99.59,98.5,99.36,100.75
2005-01-18,974.689,991.419,99.264,,98.51,97.99,99.54,102.31
2005-01-19,967.21,986.241,99.609,,98.46,98.84,99.79,101.7
2005-01-20,956.245,972.463,98.0007,,98.03,98.69,100.05,100.59
2005-01-21,982.604,988.519,99.5037,,97.9,99.87,100.86,100.87
2005-01-24,998.133,1008.175,102.3263,,98.24,101.47,100.67,101.78
2005-01-25,997.775,999.553,102.2362,,97.71,101.15,100.72,101.46
2005-01-26,989.928,987.955,99.9126,,97.86,99.28,100.24,101.58
2005-01-27,974.631,971.373,98.5286,,97.71,100.85,100.74,101.84
2005-01-28,969.209,952.413,100.2462,,96.92,100.72,101.26,101.62
2005-01-31,954.879,922.653,102.9678,,96.21,100.22,101.43,100.94
2005-02-01,955.951,913.331,100.3485,,96.57,100.4,101.58,101.13
2005-02-02,1006.913,964.243,100.1256,,96.13,100.02,102.88,101.26
2005-02-03,993.215,945.312,100.3982,,96.35,98.21,103.71,101.26
2005-02-04,1016.858,962.028,100.3863,,96.31,99.16,104.38,101.9
2005-02-16,1023.584,972.337,101.4894,,97.78,101.09,105.75,102.49
2005-02-17,1020.606,977.272,101.3981,,97.92,101.62,104.93,103.16
2005-02-18,1006.055,964.769,101.3131,,98.55,103.27,104.68,103.31
2005-02-21,1025.633,981.819,103.3572,,99.3,102.91,104.68,103.71
2005-02-22,1046.744,1007.688,100.1413,,100.86,103.77,106.52,104.2
2005-02-23,1043.944,1019.258,103.6566,,101.23,102.75,106.34,105.03
2005-02-24,1045.46,1024.446,101.8207,,102.61,104.03,107.96,104.98
2005-02-25,1046.761,1024.118,104.5974,,101.63,102.55,108.48,106.66
2005-02-28,1039.989,1020.847,98.9947,,105.43,104.41,108.95,107.59
2005-03-01,1035.934,1021.162,99.7082,,105.54,103.84,108.25,107.55
2005-03-02,1021.32,1006.148,101.7285,,107.61,103.31,109.1,108.01
2005-03-03,1027.71,1011.288,101.5978,,107.76,103.51,108.22,111.08
2005-03-04,1023.667,1003.21,101.7785,,107.25,103.18,107.8,111.54
2005-03-07,1029.871,1006.953,102.0915,,109.06,103.87,107.4,111.72
