,CBA00651.CS,CBA04031.CS,CBA00631.CS
2005-01-04,97.7711,,104.6127
2005-01-05,101.1029,,105.3801
2005-01-06,96.8454,,103.9313
2005-01-07,98.2687,,103.6937
2005-01-10,98.5395,,104.0194
2005-01-11,98.4105,,103.8653
2005-01-12,98.415,,103.8918
2005-01-13,97.0646,,103.4937
2005-01-14,99.0647,,103.917
2005-01-17,99.214,,104.6043
2005-01-18,99.264,,103.8733
2005-01-19,99.609,,104.2837
2005-01-20,98.0007,,104.2182
2005-01-21,99.5037,,104.7663
2005-01-24,102.3263,,104.4283
2005-01-25,102.2362,,104.2464
2005-01-26,99.9126,,104.1309
2005-01-27,98.5286,,104.1822
2005-01-28,100.2462,,104.5184
2005-01-31,102.9678,,104.3636
2005-02-01,100.3485,,104.5982
2005-02-02,100.1256,,104.7035
2005-02-03,100.3982,,104.4956
2005-02-04,100.3863,,104.5921
2005-02-16,101.4894,,105.7799
2005-02-17,101.3981,,105.4605
2005-02-18,101.3131,,105.6437
2005-02-21,103.3572,,104.9977
2005-02-22,100.1413,,105.1238
2005-02-23,103.6566,,105.342
2005-02-24,101.8207,,105.1279
2005-02-25,104.5974,,105.5162
2005-02-28,98.9947,,106.8819
2005-03-01,99.7082,,105.865
2005-03-02,101.7285,,105.4938
2005-03-03,101.5978,,105.2334
2005-03-04,101.7785,,105.2682
2005-03-07,102.0915,,105.5229
2005-03-08,100.3029,,105.5424
2005-03-09,102.0556,,105.4104
2005-03-10,102.37,,105.9442
2005-03-11,102.4649,,105.8392
2005-03-14,102.9016,,106.0435
2005-03-15,102.5413,,106.1271
2005-03-16,103.0338,,105.8715
2005-03-17,103.3081,,106.8027
2005-03-18,102.8747,,107.1922
2005-03-21,102.7767,,107.2486
2005-03-22,102.704,,107.1536
2005-03-23,102.3405,,106.8094
2005-03-24,102.5491,,106.9091
2005-03-25,102.5406,,107.2937
2005-03-28,102.6813,,106.964
2005-03-29,103.0381,,107.0408
2005-03-30,103.0371,,106.9439
2005-03-31,103.0006,,107.1102
2005-04-01,102.992,,106.7644
2005-04-04,103.1254,,107.5089
2005-04-05,103.2788,,107.5645
2005-04-06,103.3974,,107.1284
2005-04-07,103.5539,,107.8411
2005-04-08,103.8412,,108.0062
2005-04-11,104.3152,,107.9667
2005-04-12,104.9624,,107.9578
2005-04-13,104.606,,107.739
2005-04-14,105.095,,108.7436
2005-04-15,105.2488,,108.4455
2005-04-18,105.8745,,108.4193
2005-04-19,105.5789,,108.5581
2005-04-20,104.8205,,108.4992
2005-04-21,105.1593,,108.6496
2005-04-22,105.0089,,108.3003
2005-04-25,105.5297,,108.7289
2005-04-26,105.0741,,108.5864
2005-04-27,105.6896,,108.3323
2005-04-28,105.6914,,108.4568
2005-04-29,105.5352,,108.0294
2005-05-09,105.8803,,108.5638
2005-05-10,105.9261,,109.0928
2005-05-11,106.0572,,109.0243
2005-05-12,106.116,,108.9224
2005-05-13,106.635,,109.0498
2005-05-16,106.7961,,109.2519
2005-05-17,107.1534,,108.9394
2005-05-18,107.3768,,109.3885
2005-05-19,107.5859,,109.3765
2005-05-20,107.8213,,109.5014
2005-05-23,108.2857,,109.8421
2005-05-24,108.2261,,109.7285
2005-05-25,108.5254,,109.9312
2005-05-26,108.4935,,109.8289
2005-05-27,108.3669,,109.8004
2005-05-30,108.2637,,109.618
2005-05-31,108.2478,,109.4809
2005-06-01,108.4344,,109.7177
2005-06-02,108.4226,,109.8208
2005-06-03,108.4839,,109.8398
2005-06-06,108.5236,,109.8647
2005-06-07,108.6136,,110.0832
2005-06-08,108.6005,,110.1134
2005-06-09,108.7942,,110.2294
2005-06-10,109.1307,,110.2571
2005-06-13,109.7777,,110.8668
2005-06-14,109.9923,,110.6675
2005-06-15,110.4137,,110.8619
2005-06-16,110.3514,,110.9177
2005-06-17,110.8872,,111.0031
2005-06-20,110.8721,,110.9612
2005-06-21,110.9012,,111.0142
2005-06-22,111.0733,,111.1144
2005-06-23,110.9855,,111.168
2005-06-24,110.9143,,111.1098
2005-06-27,110.6238,,110.9277
2005-06-28,110.6889,,110.8028
2005-06-29,110.8099,,111.0544
2005-06-30,110.7221,,110.9728
2005-07-01,110.8151,,111.0929
2005-07-04,110.8998,,111.3481
2005-07-05,111.0628,,111.1611
2005-07-06,111.3019,,111.6086
2005-07-07,111.7721,,111.6014
2005-07-08,112.1008,,111.6768
2005-07-11,112.1266,,111.685
2005-07-12,112.1703,,111.759
2005-07-13,112.4351,,111.9317
2005-07-14,112.6649,,112.0424
2005-07-15,112.6786,,112.0755
2005-07-18,112.515,,112.0395
2005-07-19,112.1772,,111.9616
2005-07-20,112.4339,,112.0168
2005-07-21,112.2907,,112.0116
2005-07-22,112.4339,,111.9718
2005-07-25,112.871,,112.1085
2005-07-26,113.168,,112.165
2005-07-27,113.1419,,112.2301
2005-07-28,113.4784,,112.2397
2005-07-29,113.5576,,112.2865
2005-08-01,113.6276,,112.3207
2005-08-02,113.685,,112.3872
2005-08-03,113.8092,,112.4848
2005-08-04,113.4977,,112.523
2005-08-05,113.5631,,112.4658
2005-08-08,113.3404,,112.3829
2005-08-09,112.8465,,112.4461
2005-08-10,113.0223,,112.4596
2005-08-11,112.363,,112.3469
2005-08-12,112.4168,,112.4087
2005-08-15,112.65,,112.4844
2005-08-16,112.7239,,112.7126
2005-08-17,112.6554,,112.4797
2005-08-18,112.7491,,112.6419
2005-08-19,112.7821,,112.6664
2005-08-22,113.0796,,112.644
2005-08-23,113.4201,,112.6787
2005-08-24,113.4552,,112.5673
2005-08-25,112.7509,,112.6572
2005-08-26,113.2345,,112.817
2005-08-29,113.0423,,112.8906
